4/4 22:50:40.423  SPELL_CAST_SUCCESS,0x0680000000767E87,"Illiash",0x511,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,57755,"Heroic Throw",0x1
4/4 22:50:40.516  SPELL_CAST_SUCCESS,0x06800000007AD381,"Chimaîra",0x512,0x0,0x0680000000767E87,"Illiash",0x511,0x0,33076,"Prayer of Mending",0x2
4/4 22:50:40.547  SPELL_CAST_FAILED,0x0680000000767E87,"Illiash",0x511,0x0,0x0000000000000000,nil,0x80000000,0x80000000,57755,"Heroic Throw",0x1,"Not yet recovered"
4/4 22:50:40.612  SPELL_CAST_SUCCESS,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000000767E87,"Illiash",0x511,0x0,139,"Renew",0x2
4/4 22:50:40.612  SPELL_AURA_APPLIED,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000000767E87,"Illiash",0x511,0x0,139,"Renew",0x2,BUFF
4/4 22:50:40.703  SPELL_CAST_FAILED,0x0680000000767E87,"Illiash",0x511,0x0,0x0000000000000000,nil,0x80000000,0x80000000,57755,"Heroic Throw",0x1,"Not yet recovered"
4/4 22:50:41.016  SPELL_AURA_APPLIED_DOSE,0x06800000007AD381,"Chimaîra",0x512,0x0,0x06800000007AD381,"Chimaîra",0x512,0x0,107962,"Expansive Mind",0x1,BUFF,2
4/4 22:50:41.016  SPELL_HEAL,0x0680000002FD85BD,"Safur",0x514,0x0,0x0680000000767E87,"Illiash",0x511,0x0,63544,"Divine Touch",0x2,1930,1930,0,nil
4/4 22:50:41.142  SPELL_DAMAGE,0x0680000000767E87,"Illiash",0x511,0x0,0xF130D80C00021DD6,"Warlord Zon'ozz",0x10a48,0x0,57755,"Heroic Throw",0x1,6603,-1,1,0,0,0,nil,nil,nil
4/4 22:50:41.186  SPELL_AURA_APPLIED,0x06800000007AD381,"Chimaîra",0x512,0x0,0x06800000007AD381,"Chimaîra",0x512,0x0,96266,"Strength of Soul",0x1,BUFF
4/4 22:50:41.186  SPELL_AURA_APPLIED,0x06800000007AD381,"Chimaîra",0x512,0x0,0x06800000007AD381,"Chimaîra",0x512,0x0,89485,"Inner Focus",0x1,BUFF
4/4 22:50:41.186  SPELL_CAST_SUCCESS,0x06800000007AD381,"Chimaîra",0x512,0x0,0x0000000000000000,nil,0x80000000,0x80000000,89485,"Inner Focus",0x1
4/4 22:50:41.298  SPELL_CAST_START,0x06800000002449E3,"Recall",0x512,0x0,0x0000000000000000,nil,0x80000000,0x80000000,34914,"Vampiric Touch",0x20
4/4 22:50:41.629  SPELL_CAST_SUCCESS,0x068000000020E48E,"Cursia",0x514,0x0,0x0000000000000000,nil,0x80000000,0x80000000,82731,"Flame Orb",0x4
4/4 22:50:41.779  SPELL_AURA_APPLIED,0x068000000154C086,"Fellmuh",0x514,0x0,0x068000000154C086,"Fellmuh",0x514,0x0,73681,"Unleash Wind",0x1,BUFF
